
SEQUEST v.28 (rev. 12), (c) 1998-2007
Molecular Biotechnology, Univ. of Washington, J.Eng/S.Morgan/J.Yates
Licensed to Thermo Fisher Scientific Inc.

In memory indexing of the database took 0.3 seconds

Search run on = TESLA
Params file = C:\Xcalibur\sequest\john\opd1_2runs_2mods\ecoli.params
Peptide tol = 0.0000, fragment tol = 1.0000, AVG/AVG
Ion series = nABY ABCDVWXYZ: 0 1 1 0.0 1.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0
Display top = 10/5, ion % = 0.0, CODE = 101050
Protein database (in-memory indexed) = C:\Xcalibur\database\ecoli_K12_ncbi_20060321.fasta
(M* +15.99940) (STY# +79.97990)  Enzyme:Trypsin(KR/P) (2)

Searched dta file  for scan(s) 2 - 2 @ z=1
Searched dta file  for scan(s) 3 - 3 @ z=1
Searched dta file  for scan(s) 4 - 4 @ z=1
Searched dta file  for scan(s) 6 - 6 @ z=1
Searched dta file  for scan(s) 8 - 8 @ z=1
Searched dta file  for scan(s) 10 - 10 @ z=1
Searched dta file  for scan(s) 11 - 11 @ z=1
Searched dta file  for scan(s) 12 - 12 @ z=1
Searched dta file  for scan(s) 14 - 14 @ z=1
Searched dta file  for scan(s) 15 - 15 @ z=1
Searched dta file  for scan(s) 16 - 16 @ z=1
Searched dta file  for scan(s) 18 - 18 @ z=1
Searched dta file  for scan(s) 19 - 19 @ z=1
Searched dta file  for scan(s) 20 - 20 @ z=1
Searched dta file  for scan(s) 22 - 22 @ z=1
Searched dta file  for scan(s) 23 - 23 @ z=1
Searched dta file  for scan(s) 24 - 24 @ z=1
Searched dta file  for scan(s) 26 - 26 @ z=1
Searched dta file  for scan(s) 27 - 27 @ z=1
Searched dta file  for scan(s) 28 - 30 @ z=1
Searched dta file  for scan(s) 31 - 31 @ z=1
Searched dta file  for scan(s) 32 - 32 @ z=2
Searched dta file  for scan(s) 32 - 32 @ z=3
Searched dta file  for scan(s) 34 - 34 @ z=2
Searched dta file  for scan(s) 34 - 34 @ z=3
Searched dta file  for scan(s) 35 - 35 @ z=2
Searched dta file  for scan(s) 35 - 35 @ z=3
Searched dta file  for scan(s) 36 - 36 @ z=2
Searched dta file  for scan(s) 36 - 36 @ z=3
Searched dta file  for scan(s) 38 - 38 @ z=1
Searched dta file  for scan(s) 39 - 39 @ z=1
Searched dta file  for scan(s) 40 - 40 @ z=1
Searched dta file  for scan(s) 44 - 44 @ z=1
Searched dta file  for scan(s) 46 - 46 @ z=1
Searched dta file  for scan(s) 47 - 47 @ z=1
Searched dta file  for scan(s) 48 - 48 @ z=1
Searched dta file  for scan(s) 51 - 51 @ z=1
Searched dta file  for scan(s) 54 - 54 @ z=1
Searched dta file  for scan(s) 55 - 55 @ z=1
Searched dta file  for scan(s) 56 - 56 @ z=2
Searched dta file  for scan(s) 56 - 56 @ z=3
Searched dta file  for scan(s) 58 - 58 @ z=1
Searched dta file  for scan(s) 59 - 59 @ z=1
Searched dta file  for scan(s) 60 - 60 @ z=1
Searched dta file  for scan(s) 62 - 62 @ z=1
Searched dta file  for scan(s) 64 - 64 @ z=1
Searched dta file  for scan(s) 66 - 66 @ z=1
Searched dta file  for scan(s) 67 - 67 @ z=1
Searched dta file  for scan(s) 70 - 70 @ z=1
Searched dta file  for scan(s) 71 - 71 @ z=1
Searched dta file  for scan(s) 72 - 72 @ z=1
Searched dta file  for scan(s) 75 - 75 @ z=1
Searched dta file  for scan(s) 76 - 76 @ z=1
Searched dta file  for scan(s) 79 - 79 @ z=1
Searched dta file  for scan(s) 80 - 80 @ z=2
Searched dta file  for scan(s) 80 - 80 @ z=3
Searched dta file  for scan(s) 83 - 83 @ z=1
Searched dta file  for scan(s) 84 - 84 @ z=2
Searched dta file  for scan(s) 84 - 84 @ z=3
Searched dta file  for scan(s) 90 - 90 @ z=2
Searched dta file  for scan(s) 90 - 90 @ z=3
Searched dta file  for scan(s) 92 - 92 @ z=2
Searched dta file  for scan(s) 92 - 92 @ z=3
Searched dta file  for scan(s) 94 - 94 @ z=1
Searched dta file  for scan(s) 95 - 95 @ z=1
Searched dta file  for scan(s) 96 - 96 @ z=2
Searched dta file  for scan(s) 96 - 96 @ z=3
Searched dta file  for scan(s) 99 - 99 @ z=2
Searched dta file  for scan(s) 99 - 99 @ z=3
Searched dta file  for scan(s) 100 - 100 @ z=1
Searched dta file  for scan(s) 102 - 102 @ z=2
Searched dta file  for scan(s) 102 - 102 @ z=3
Searched dta file  for scan(s) 103 - 103 @ z=1
Searched dta file  for scan(s) 106 - 106 @ z=2
Searched dta file  for scan(s) 106 - 106 @ z=3
Searched dta file  for scan(s) 107 - 107 @ z=1
Searched dta file  for scan(s) 110 - 110 @ z=1
Searched dta file  for scan(s) 111 - 111 @ z=2
Searched dta file  for scan(s) 111 - 111 @ z=3
Searched dta file  for scan(s) 112 - 112 @ z=1
Searched dta file  for scan(s) 115 - 115 @ z=1
Searched dta file  for scan(s) 116 - 116 @ z=1
Searched dta file  for scan(s) 119 - 119 @ z=1
Searched dta file  for scan(s) 120 - 120 @ z=1
Searched dta file  for scan(s) 122 - 122 @ z=2
Searched dta file  for scan(s) 122 - 122 @ z=3
Searched dta file  for scan(s) 126 - 126 @ z=1
Searched dta file  for scan(s) 127 - 127 @ z=1
Searched dta file  for scan(s) 130 - 130 @ z=1
Searched dta file  for scan(s) 131 - 131 @ z=1
Searched dta file  for scan(s) 132 - 132 @ z=1
Searched dta file  for scan(s) 134 - 134 @ z=2
Searched dta file  for scan(s) 134 - 134 @ z=3
Searched dta file  for scan(s) 135 - 135 @ z=1
Searched dta file  for scan(s) 136 - 136 @ z=2
Searched dta file  for scan(s) 136 - 136 @ z=3
Searched dta file  for scan(s) 138 - 138 @ z=1
Searched dta file  for scan(s) 139 - 139 @ z=1
Searched dta file  for scan(s) 140 - 140 @ z=1
Searched dta file  for scan(s) 142 - 142 @ z=1
Searched dta file  for scan(s) 143 - 143 @ z=1
Searched dta file  for scan(s) 144 - 144 @ z=1
Searched dta file  for scan(s) 146 - 146 @ z=2
Searched dta file  for scan(s) 146 - 146 @ z=3
Searched dta file  for scan(s) 147 - 147 @ z=1
Searched dta file  for scan(s) 148 - 148 @ z=2
Searched dta file  for scan(s) 148 - 148 @ z=3
Searched dta file  for scan(s) 150 - 150 @ z=1
Searched dta file  for scan(s) 151 - 151 @ z=2
Searched dta file  for scan(s) 151 - 151 @ z=3
Searched dta file  for scan(s) 152 - 152 @ z=1
Searched dta file  for scan(s) 154 - 154 @ z=1
Searched dta file  for scan(s) 155 - 155 @ z=1
Searched dta file  for scan(s) 156 - 156 @ z=1
Searched dta file  for scan(s) 158 - 158 @ z=1
Searched dta file  for scan(s) 162 - 162 @ z=2
Searched dta file  for scan(s) 162 - 162 @ z=3
Searched dta file  for scan(s) 163 - 163 @ z=1
Searched dta file  for scan(s) 164 - 164 @ z=1
Searched dta file  for scan(s) 166 - 166 @ z=1
Searched dta file  for scan(s) 167 - 167 @ z=1
Searched dta file  for scan(s) 168 - 168 @ z=2
Searched dta file  for scan(s) 168 - 168 @ z=3
Searched dta file  for scan(s) 170 - 170 @ z=1
Searched dta file  for scan(s) 172 - 172 @ z=1
Searched dta file  for scan(s) 174 - 174 @ z=2
Searched dta file  for scan(s) 174 - 174 @ z=3
Searched dta file  for scan(s) 176 - 176 @ z=2
Searched dta file  for scan(s) 176 - 176 @ z=3
Searched dta file  for scan(s) 179 - 179 @ z=2
Searched dta file  for scan(s) 179 - 179 @ z=3
Searched dta file  for scan(s) 180 - 180 @ z=1
Searched dta file  for scan(s) 182 - 182 @ z=2
Searched dta file  for scan(s) 182 - 182 @ z=3
Searched dta file  for scan(s) 183 - 183 @ z=2
