Datafile FullScanSumBP FullScanMaxBP ZoomScanSumBP ZoomScanMaxBP SumTIC MaxTIC
040.2.2.1.dta 6091963 6091963 0 0 7572465 7572465
040.3.3.1.dta 1395091 1395091 0 0 1825093 1825093
040.4.4.1.dta 1252033 1252033 0 0 2287352 2287352
040.6.6.1.dta 9008636 9008636 0 0 7632462 7632462
040.8.8.1.dta 730500 730500 0 0 2296513 2296513
040.10.10.1.dta 1114267 1114267 0 0 1798816 1798816
040.11.11.1.dta 644559 644559 0 0 1085658 1085658
040.12.12.1.dta 629504 629504 0 0 1596922 1596922
040.14.14.1.dta 1378632 1378632 0 0 2622984 2622984
040.15.15.1.dta 979716 979716 0 0 812718 812718
040.16.16.1.dta 851923 851923 0 0 1627486 1627486
040.18.18.1.dta 778963 778963 0 0 737666 737666
040.19.19.1.dta 541657 541657 0 0 1768269 1768269
040.20.20.1.dta 521276 521276 0 0 2323189 2323189
040.22.22.1.dta 593830 593830 0 0 694417 694417
040.23.23.1.dta 569866 569866 0 0 571279 571279
040.24.24.1.dta 564380 564380 0 0 1071010 1071010
040.26.26.1.dta 821229 821229 0 0 790069 790069
040.27.27.1.dta 809097 809097 0 0 56750 56750
040.28.30.1.dta 1740176 932707 0 0 1172178 597482
040.31.31.1.dta 881093 881093 0 0 8032367 8032367
040.32.32.2.dta 862480 862480 0 0 725015 725015
040.32.32.3.dta 862480 862480 0 0 725015 725015
040.34.34.2.dta 495678 495678 0 0 919946 919946
040.34.34.3.dta 495678 495678 0 0 919946 919946
040.35.35.2.dta 492041 492041 0 0 832950 832950
040.35.35.3.dta 492041 492041 0 0 832950 832950
040.36.36.2.dta 468106 468106 0 0 883997 883997
040.36.36.3.dta 468106 468106 0 0 883997 883997
040.38.38.1.dta 472325 472325 0 0 93111 93111
040.39.39.1.dta 433684 433684 0 0 2381528 2381528
040.40.40.1.dta 418042 418042 0 0 389910 389910
040.44.44.1.dta 972998 972998 0 0 2224189 2224189
040.46.46.1.dta 3420861 3420861 0 0 3592286 3592286
040.47.47.1.dta 3289650 3289650 0 0 2824637 2824637
040.48.48.1.dta 2808333 2808333 0 0 1928190 1928190
